shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_4493,40.73586,-74.02922,1,0
p_4493,40.73295,-74.00707,2,1898.75590118
p_4493,40.732933,-74.007072,3,1900.65127467
p_4493,40.733063376705,-74.006347192451,4,1963.56702996
p_4493,40.733220598109,-74.005356156731,5,2049.0845969
p_4493,40.733402014426,-74.004219544289,6,2147.18891608
p_4493,40.73357840425,-74.003059255928,7,2247.14029537
p_4493,40.733764107205,-74.001874426567,8,2349.3287533
p_4493,40.733902421332,-74.00081586837,9,2440.05763225
p_4493,40.734010497257,-74.000053322754,10,2505.58036872
p_4493,40.734069,-73.999656,11,2539.76619096
p_4493,40.734150259457,-73.999223186508,12,2577.42411756
p_4493,40.734249,-73.999107,13,2592.13998435
p_4493,40.734783,-73.99871,14,2660.26570803
p_4493,40.735031,-73.998542,15,2691.24710512
p_4493,40.735389,-73.998275,16,2736.95453427
p_4493,40.73603,-73.997802,17,2818.58343739
p_4493,40.736667,-73.997337,18,2899.49490883
p_4493,40.737354,-73.996849,19,2986.20935975
p_4493,40.737361,-73.996841,20,2987.23935648
p_4493,40.738044,-73.996337,21,3074.21652284
p_4493,40.738685,-73.995872,22,3155.51607377
p_4493,40.739273,-73.995445,23,3230.11163295
p_4493,40.73986,-73.995018,24,3304.60985779
p_4493,40.74044,-73.99459,25,3378.47002652
p_4493,40.741031,-73.994163,26,3453.35693727
p_4493,40.741615,-73.993736,27,3527.56339142
p_4493,40.742233,-73.993293,28,3605.72897188
p_4493,40.7429,-73.992805,29,3690.49439869
p_4493,40.742912,-73.992797,30,3691.98850242
p_4493,40.743568,-73.992317,31,3775.35777767
p_4493,40.744186,-73.991874,32,3853.5228547
p_4493,40.7448,-73.991416,33,3931.9153951
p_4493,40.745422,-73.990966,34,4010.75374545
p_4493,40.746036,-73.990516,35,4088.81476097
p_4493,40.746658,-73.990066,36,4167.65278512
p_4493,40.747276,-73.989616,37,4246.10176282
p_4493,40.747894,-73.989158,38,4324.88011222
p_4493,40.748504,-73.988708,39,4402.55277356
p_4493,40.749037136642,-73.988332652779,40,4469.7093866
p_4493,40.749114,-73.988273,41,4479.62083436
p_4495,40.73586,-74.02922,1,0
p_4495,40.7327230764909,-74.0297761152865,2,351.50468878
p_4495,40.7324375291734,-74.0298920627113,3,384.69259309
p_4495,40.7322398418488,-74.0300949707029,4,412.54452995
p_4495,40.7320531366173,-74.0314283660575,5,527.07522735
p_4495,40.7318334827225,-74.0320225966001,6,582.88555335
p_4495,40.7315040005307,-74.0324139191512,7,632.19579132
p_4495,40.7311525510644,-74.0326748008519,8,677.01619704
p_4495,40.7307352024414,-74.0329646693768,9,729.43346116
p_4495,40.7290338579154,-74.0335215603108,10,924.13464803
p_4495,40.72699,-74.03383,11,1152.59316
p_4495,40.7175213715462,-74.0355849736917,12,2214.47339386
p_4495,40.7174069931982,-74.0355428166271,13,2227.66493982
p_4495,40.7173348167426,-74.0353821539302,14,2243.42949317
p_4495,40.7173029110074,-74.0352061182769,15,2258.71955526
p_4495,40.7172158953055,-74.0347354142634,16,2299.64810888
p_4495,40.7170998741572,-74.0340427522069,17,2359.57514591
p_4495,40.7169362178741,-74.0327706660136,18,2468.5844118
p_4495,40.7168869087167,-74.0323535380624,19,2504.25209659
p_4495,40.71676,-74.03238,20,2518.52137238
p_4495,40.7149350128964,-74.0173669144474,21,3803.14583301
p_4495,40.7148344167261,-74.0169994651591,22,3836.14259073
p_4495,40.7141556537268,-74.0152998390768,23,3998.33489611
p_4495,40.71271,-74.01193,24,4325.21839701
p_4496,40.734633750439,-74.163635931213,1,0
p_4496,40.735387218267,-74.162445931213,2,130.78753318
p_4496,40.736304229471,-74.160896285706,3,296.63224191
p_4496,40.737687782028,-74.158628197067,4,542.21259912
p_4496,40.738212806456,-74.157656055572,5,642.92036353
p_4496,40.738611314772,-74.156968765884,6,715.91753934
p_4496,40.739045400997,-74.156233552254,7,794.53189989
p_4496,40.739198677226,-74.155983865082,8,821.63377058
