trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_area_id,drop_off_area_id,pickup_service_area_radius,drop_off_service_area_radius
t_197840_b_643_tn_1,00:00:00,00:00:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197840_b_643_tn_1,00:05:00,00:05:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197840_b_643_tn_10,01:21:00,01:21:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197840_b_643_tn_10,01:26:00,01:26:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197840_b_643_tn_11,01:30:00,01:30:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197840_b_643_tn_11,01:35:00,01:35:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197840_b_643_tn_12,01:39:00,01:39:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197840_b_643_tn_12,01:44:00,01:44:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197840_b_643_tn_13,01:48:00,01:48:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197840_b_643_tn_13,01:53:00,01:53:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197840_b_643_tn_14,01:57:00,01:57:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197840_b_643_tn_14,02:02:00,02:02:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197840_b_643_tn_15,02:06:00,02:06:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197840_b_643_tn_15,02:11:00,02:11:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197840_b_643_tn_16,02:15:00,02:15:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197840_b_643_tn_16,02:20:00,02:20:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197840_b_643_tn_17,02:24:00,02:24:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197840_b_643_tn_17,02:29:00,02:29:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197840_b_643_tn_18,02:33:00,02:33:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197840_b_643_tn_18,02:38:00,02:38:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197840_b_643_tn_19,02:42:00,02:42:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197840_b_643_tn_19,02:47:00,02:47:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197840_b_643_tn_2,00:09:00,00:09:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197840_b_643_tn_2,00:14:00,00:14:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197840_b_643_tn_20,02:51:00,02:51:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197840_b_643_tn_20,02:56:00,02:56:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197840_b_643_tn_21,03:00:00,03:00:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197840_b_643_tn_21,03:05:00,03:05:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197840_b_643_tn_22,03:09:00,03:09:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197840_b_643_tn_22,03:14:00,03:14:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197840_b_643_tn_23,03:18:00,03:18:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197840_b_643_tn_23,03:23:00,03:23:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197840_b_643_tn_24,03:27:00,03:27:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197840_b_643_tn_24,03:32:00,03:32:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197840_b_643_tn_25,03:36:00,03:36:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197840_b_643_tn_25,03:41:00,03:41:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197840_b_643_tn_26,03:45:00,03:45:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197840_b_643_tn_26,03:50:00,03:50:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197840_b_643_tn_3,00:18:00,00:18:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197840_b_643_tn_3,00:23:00,00:23:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197840_b_643_tn_4,00:27:00,00:27:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197840_b_643_tn_4,00:32:00,00:32:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197840_b_643_tn_5,00:36:00,00:36:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197840_b_643_tn_5,00:41:00,00:41:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197840_b_643_tn_6,00:45:00,00:45:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197840_b_643_tn_6,00:50:00,00:50:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197840_b_643_tn_7,00:54:00,00:54:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197840_b_643_tn_7,00:59:00,00:59:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197840_b_643_tn_8,01:03:00,01:03:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197840_b_643_tn_8,01:08:00,01:08:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197840_b_643_tn_9,01:12:00,01:12:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197840_b_643_tn_9,01:17:00,01:17:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_1,04:00:00,04:00:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_1,04:05:00,04:05:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_10,04:45:00,04:45:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_10,04:50:00,04:50:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_100,12:15:00,12:15:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_100,12:20:00,12:20:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_101,12:20:00,12:20:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_101,12:25:00,12:25:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_102,12:25:00,12:25:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_102,12:30:00,12:30:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_103,12:30:00,12:30:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_103,12:35:00,12:35:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_104,12:35:00,12:35:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_104,12:40:00,12:40:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_105,12:40:00,12:40:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_105,12:45:00,12:45:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_106,12:45:00,12:45:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_106,12:50:00,12:50:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_107,12:50:00,12:50:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_107,12:55:00,12:55:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
t_197841_b_643_tn_108,12:55:00,12:55:00,2428721,1,,0,0,0,0,,,,,1,1,,,,
t_197841_b_643_tn_108,13:00:00,13:00:00,2428720,2,,0,0,736.58664997,0,,,,,1,1,,,,
